underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask
A,2021-04-26 10:00:00,A,2021-06-18,70.000,C,0.0000,0.0000,0.0000,0.0000,0,157,66.3000,284,68.8000,137.0600,137.2000
A,2021-04-26 10:30:00,A,2021-06-18,70.000,C,0.0000,0.0000,0.0000,0.0000,0,297,66.4000,274,68.8000,137.3700,137.4300
A,2021-04-26 11:00:00,A,2021-06-18,70.000,C,0.0000,0.0000,0.0000,0.0000,0,352,66.4000,382,68.8000,137.3800,137.4300
A,2021-04-26 11:30:00,A,2021-06-18,70.000,C,0.0000,0.0000,0.0000,0.0000,0,352,66.5000,348,68.7000,137.4500,137.4900
A,2021-04-26 12:00:00,A,2021-06-18,70.000,C,0.0000,0.0000,0.0000,0.0000,0,352,66.5000,338,68.7000,137.6200,137.6700
A,2021-04-26 12:30:00,A,2021-06-18,70.000,C,0.0000,0.0000,0.0000,0.0000,0,301,66.5000,274,68.7000,137.6100,137.6500
A,2021-04-26 13:00:00,A,2021-06-18,70.000,C,0.0000,0.0000,0.0000,0.0000,0,267,66.5000,287,68.7000,137.3500,137.3900
A,2021-04-26 13:30:00,A,2021-06-18,70.000,C,0.0000,0.0000,0.0000,0.0000,0,349,66.5000,339,68.7000,137.5100,137.5900
A,2021-04-26 14:00:00,A,2021-06-18,70.000,C,0.0000,0.0000,0.0000,0.0000,0,369,66.5000,349,68.7000,137.6200,137.6500
A,2021-04-26 14:30:00,A,2021-06-18,70.000,C,0.0000,0.0000,0.0000,0.0000,0,369,66.5000,349,68.7000,137.6800,137.7200
A,2021-04-26 15:00:00,A,2021-06-18,70.000,C,0.0000,0.0000,0.0000,0.0000,0,376,66.5000,354,68.7000,137.6200,137.6500
A,2021-04-26 15:30:00,A,2021-06-18,70.000,C,0.0000,0.0000,0.0000,0.0000,0,356,66.5000,364,68.7000,137.3000,137.3400
A,2021-04-26 16:00:00,A,2021-06-18,70.000,C,0.0000,0.0000,0.0000,0.0000,0,255,65.6000,253,68.8000,137.3400,137.3500
A,2021-04-26 10:00:00,A,2021-06-18,70.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,287,0.1500,137.0600,137.2000
A,2021-04-26 10:30:00,A,2021-06-18,70.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,234,0.1500,137.3700,137.4300
A,2021-04-26 11:00:00,A,2021-06-18,70.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,333,0.1500,137.3800,137.4300
A,2021-04-26 11:30:00,A,2021-06-18,70.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,338,0.1500,137.4500,137.4900
A,2021-04-26 12:00:00,A,2021-06-18,70.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,282,0.1500,137.6200,137.6700
A,2021-04-26 12:30:00,A,2021-06-18,70.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,277,0.1500,137.6100,137.6500
A,2021-04-26 13:00:00,A,2021-06-18,70.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,276,0.1500,137.3500,137.3900
A,2021-04-26 13:30:00,A,2021-06-18,70.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,624,1.9000,137.5100,137.5900
A,2021-04-26 14:00:00,A,2021-06-18,70.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,656,1.9000,137.6200,137.6500
A,2021-04-26 14:30:00,A,2021-06-18,70.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,654,1.9000,137.6800,137.7200
A,2021-04-26 15:00:00,A,2021-06-18,70.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,927,1.9000,137.6200,137.6500
A,2021-04-26 15:30:00,A,2021-06-18,70.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,939,1.9000,137.3000,137.3400
A,2021-04-26 16:00:00,A,2021-06-18,70.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,525,1.9000,137.3400,137.3500
A,2021-04-26 10:00:00,A,2021-06-18,75.000,C,0.0000,0.0000,0.0000,0.0000,0,2,59.7000,3,64.5000,137.0600,137.2000
A,2021-04-26 10:30:00,A,2021-06-18,75.000,C,0.0000,0.0000,0.0000,0.0000,0,94,60.7000,94,64.8000,137.3700,137.4300
A,2021-04-26 11:00:00,A,2021-06-18,75.000,C,0.0000,0.0000,0.0000,0.0000,0,115,60.7000,115,64.8000,137.3800,137.4300
A,2021-04-26 11:30:00,A,2021-06-18,75.000,C,0.0000,0.0000,0.0000,0.0000,0,115,60.8000,115,64.7000,137.4500,137.4900
A,2021-04-26 12:00:00,A,2021-06-18,75.000,C,0.0000,0.0000,0.0000,0.0000,0,115,61.1000,115,64.4000,137.6200,137.6700
A,2021-04-26 12:30:00,A,2021-06-18,75.000,C,0.0000,0.0000,0.0000,0.0000,0,27,61.1000,27,64.4000,137.6100,137.6500
A,2021-04-26 13:00:00,A,2021-06-18,75.000,C,0.0000,0.0000,0.0000,0.0000,0,105,61.2000,105,64.3000,137.3500,137.3900
A,2021-04-26 13:30:00,A,2021-06-18,75.000,C,0.0000,0.0000,0.0000,0.0000,0,115,61.3000,115,64.2000,137.5100,137.5900
A,2021-04-26 14:00:00,A,2021-06-18,75.000,C,0.0000,0.0000,0.0000,0.0000,0,115,61.3000,115,64.2000,137.6200,137.6500
A,2021-04-26 14:30:00,A,2021-06-18,75.000,C,0.0000,0.0000,0.0000,0.0000,0,115,61.5000,115,64.0000,137.6800,137.7200
A,2021-04-26 15:00:00,A,2021-06-18,75.000,C,0.0000,0.0000,0.0000,0.0000,0,115,61.6000,115,63.9000,137.6200,137.6500
A,2021-04-26 15:30:00,A,2021-06-18,75.000,C,0.0000,0.0000,0.0000,0.0000,0,105,61.6000,115,63.9000,137.3000,137.3400
A,2021-04-26 16:00:00,A,2021-06-18,75.000,C,0.0000,0.0000,0.0000,0.0000,0,120,60.0000,212,64.9000,137.3400,137.3500
A,2021-04-26 10:00:00,A,2021-06-18,75.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,311,0.1500,137.0600,137.2000
A,2021-04-26 10:30:00,A,2021-06-18,75.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,246,0.1500,137.3700,137.4300
A,2021-04-26 11:00:00,A,2021-06-18,75.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,352,0.1500,137.3800,137.4300
A,2021-04-26 11:30:00,A,2021-06-18,75.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,355,0.1500,137.4500,137.4900
A,2021-04-26 12:00:00,A,2021-06-18,75.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,298,0.1500,137.6200,137.6700
A,2021-04-26 12:30:00,A,2021-06-18,75.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,265,0.1500,137.6100,137.6500
A,2021-04-26 13:00:00,A,2021-06-18,75.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,271,0.1500,137.3500,137.3900
A,2021-04-26 13:30:00,A,2021-06-18,75.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,791,0.9500,137.5100,137.5900
A,2021-04-26 14:00:00,A,2021-06-18,75.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,804,0.9500,137.6200,137.6500
A,2021-04-26 14:30:00,A,2021-06-18,75.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,819,0.9500,137.6800,137.7200
