underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask
^VIX,2021-04-26 16:00:00,VIX,2021-12-22,10.0,C,14.15,14.15,14.15,14.15,1,2480,13.9,90,14.2,17.72,17.72
^VIX,2021-04-26 10:00:00,VIX,2021-12-22,13.0,C,11.39,11.39,11.39,11.39,5,324,11.2,286,11.5,17.84,17.84
^VIX,2021-04-26 14:30:00,VIX,2021-12-22,14.0,C,10.38,10.38,10.38,10.38,1,2249,10.2,1900,10.5,17.79,17.79
^VIX,2021-04-26 10:00:00,VIX,2021-12-22,15.0,C,9.63,9.63,9.63,9.63,100,39,9.5,638,9.8,17.84,17.84
^VIX,2021-04-26 12:00:00,VIX,2021-12-22,15.0,C,9.7,9.7,9.7,9.7,3,39,9.5,191,9.7,17.79,17.79
^VIX,2021-04-26 14:00:00,VIX,2021-12-22,15.0,C,9.5,9.5,9.5,9.5,10,23,9.4,168,9.6,17.78,17.78
^VIX,2021-04-26 15:00:00,VIX,2021-12-22,15.0,C,9.5,9.5,9.5,9.5,30,3747,9.3,403,9.6,17.69,17.69
^VIX,2021-04-26 15:30:00,VIX,2021-12-22,15.0,C,9.5,9.5,9.5,9.5,20,3421,9.3,550,9.6,17.72,17.72
^VIX,2021-04-26 16:00:00,VIX,2021-12-22,15.0,C,9.5,9.55,9.5,9.55,12,20,9.4,261,9.6,17.72,17.72
^VIX,2021-04-26 15:00:00,VIX,2021-12-22,15.0,P,0.43,0.43,0.43,0.43,1,567,0.35,7819,0.5,17.69,17.69
^VIX,2021-04-26 10:00:00,VIX,2021-12-22,16.0,C,8.8,8.8,8.8,8.8,1,560,8.7,566,9.0,17.84,17.84
^VIX,2021-04-26 10:00:00,VIX,2021-12-22,17.0,C,8.12,8.2,8.12,8.2,11,245,8.0,599,8.3,17.84,17.84
^VIX,2021-04-26 12:00:00,VIX,2021-12-22,17.0,C,8.18,8.18,8.18,8.18,10,26,8.0,3112,8.3,17.79,17.79
^VIX,2021-04-26 12:30:00,VIX,2021-12-22,17.0,C,8.18,8.2,8.09,8.2,31,1,8.0,446,8.2,17.93,17.93
^VIX,2021-04-26 15:30:00,VIX,2021-12-22,17.0,C,8.0,8.0,8.0,8.0,1,183,7.9,501,8.1,17.72,17.72
^VIX,2021-04-26 10:00:00,VIX,2021-12-22,17.0,P,0.92,0.92,0.92,0.92,20,26,0.85,2434,1.0,17.84,17.84
^VIX,2021-04-26 12:00:00,VIX,2021-12-22,17.0,P,0.92,0.92,0.92,0.92,10,26,0.85,2022,1.0,17.79,17.79
^VIX,2021-04-26 12:30:00,VIX,2021-12-22,17.0,P,0.92,0.92,0.92,0.92,40,26,0.85,2291,1.0,17.93,17.93
^VIX,2021-04-26 13:30:00,VIX,2021-12-22,18.0,C,7.47,7.47,7.47,7.47,60,3142,7.3,504,7.6,17.96,17.96
^VIX,2021-04-26 16:00:00,VIX,2021-12-22,18.0,C,7.5,7.5,7.4,7.4,6,20,7.3,475,7.5,17.72,17.72
^VIX,2021-04-26 16:00:00,VIX,2021-12-22,18.0,P,1.3,1.3,1.3,1.3,1,3103,1.2,759,1.35,17.72,17.72
^VIX,2021-04-26 10:00:00,VIX,2021-12-22,19.0,C,7.1,7.1,7.0,7.0,2,213,6.8,2040,7.1,17.84,17.84
^VIX,2021-04-26 15:00:00,VIX,2021-12-22,19.0,C,6.85,6.85,6.85,6.85,200,309,6.7,719,6.9,17.69,17.69
^VIX,2021-04-26 12:00:00,VIX,2021-12-22,19.0,P,1.7,1.7,1.7,1.7,10,560,1.6,61,1.75,17.79,17.79
^VIX,2021-04-26 10:00:00,VIX,2021-12-22,20.0,C,6.39,6.43,6.39,6.43,2,16,6.3,365,6.5,17.84,17.84
^VIX,2021-04-26 14:30:00,VIX,2021-12-22,20.0,C,6.35,6.35,6.35,6.35,2,2315,6.2,4310,6.5,17.79,17.79
^VIX,2021-04-26 14:00:00,VIX,2021-12-22,20.0,P,2.2,2.2,2.2,2.2,20,449,2.1,1969,2.3,17.78,17.78
^VIX,2021-04-26 10:00:00,VIX,2021-12-22,21.0,C,5.94,5.94,5.94,5.94,2,350,5.8,366,6.0,17.84,17.84
