underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,moneyness,implied_vol
^VIX,2021-04-26 10:00:00,VIX,2021-07-21,20.0,C,5.2,5.2,5.2,5.2,36,641,5.2,27497,5.3,17.84,17.84,-0.11428914640212766,1.744630761218203
^VIX,2021-04-26 10:00:00,VIX,2021-07-21,21.0,C,4.7,4.7,4.7,4.7,10,26926,4.7,38764,4.9,17.84,17.84,-0.1630793105715596,1.6790137132394534
^VIX,2021-04-26 10:00:00,VIX,2021-07-21,26.0,C,3.22,3.22,3.2,3.2,6,2377,3.2,35441,3.3,17.84,17.84,-0.3766534108696188,1.5829270868331313
^VIX,2021-04-26 10:00:00,VIX,2021-07-21,60.0,C,0.59,0.59,0.59,0.59,700,28519,0.55,3071,0.6,17.84,17.84,-1.2129014350702374,1.584395951380896
^VIX,2021-04-26 10:00:00,VIX,2021-07-21,19.0,P,1.3,1.3,1.3,1.3,134,22650,1.25,40176,1.35,17.84,17.84,-0.06299585201457714,0.1697028726731904
^VIX,2021-04-26 10:00:00,VIX,2021-07-21,29.0,C,2.55,2.6,2.55,2.6,3,10,2.6,44270,2.7,17.84,17.84,-0.4858527028346108,1.537436166819203
^VIX,2021-04-26 10:00:00,VIX,2021-07-21,37.5,C,1.57,1.65,1.57,1.65,16,19955,1.55,25744,1.65,17.84,17.84,-0.7428978058245018,1.53955963176411
^VIX,2021-04-26 10:00:00,VIX,2021-07-21,28.0,C,2.79,2.85,2.79,2.85,18,22829,2.75,10933,2.85,17.84,17.84,-0.4507613830233406,1.5614246250567323
^VIX,2021-04-26 10:00:00,VIX,2021-07-21,23.0,C,4.07,4.07,4.05,4.05,12,9150,4.0,7504,4.1,17.84,17.84,-0.25405108877728644,1.643475323457952
^VIX,2021-04-26 10:00:00,VIX,2021-07-21,18.0,C,6.4,6.4,6.31,6.31,3,510,6.3,13166,6.4,17.84,17.84,-0.008928630744301431,1.9295910034083041
^VIX,2021-04-26 10:00:00,VIX,2021-07-21,40.0,C,1.5,1.5,1.4,1.42,234,5,1.4,21194,1.45,17.84,17.84,-0.807436326962073,1.586580159588526
^VIX,2021-04-26 10:00:00,VIX,2021-07-21,70.0,C,0.4,0.4,0.4,0.4,2000,49052,0.35,483,0.4,17.84,17.84,-1.3670521148974957,1.590476400484167
^VIX,2021-04-26 10:00:00,VIX,2021-07-21,24.0,C,3.8,3.8,3.8,3.8,3,8289,3.7,15643,3.8,17.84,17.84,-0.29661070319608235,1.6315877890756139
^VIX,2021-04-26 10:00:00,VIX,2021-07-21,27.0,P,6.6,6.6,6.6,6.6,1,7278,6.5,34290,6.6,17.84,17.84,-0.4143937388524658,
^VIX,2021-04-26 10:00:00,VIX,2021-07-21,65.0,C,0.5,0.5,0.5,0.5,700,27566,0.45,5068,0.5,17.84,17.84,-1.2929441427437738,1.5982429093636632
^VIX,2021-04-26 10:00:00,VIX,2021-07-21,17.0,C,6.99,7.01,6.99,7.01,7,28748,6.9,19077,7.1,17.84,17.84,0.048229783095647155,2.017195341011269
^VIX,2021-04-26 10:00:00,VIX,2021-07-21,17.0,P,0.57,0.59,0.57,0.57,18,1470,0.55,42383,0.6,17.84,17.84,0.048229783095647155,0.2835070103726238
^VIX,2021-04-26 10:00:00,VIX,2021-07-21,42.5,C,1.26,1.26,1.26,1.26,12,24504,1.2,38979,1.3,17.84,17.84,-0.8680609487785078,1.562411684866569
