underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,moneyness,implied_vol,delta,theta,gamma,vega,rho
^VIX,2021-04-26 10:00:00,VIXW,2021-05-12,15.0,P,0.05,0.05,0.05,0.05,1,75,0.01,3285,0.1,17.84,17.84,0.1733929260496532,0.5413890125110917,-0.04990015212043507,-2.2314831110246582,0.05092119522573351,0.38461378402047325,-0.04095250891966503
^VIX,2021-04-26 10:00:00,VIXW,2021-05-12,40.0,C,0.3,0.3,0.3,0.3,5,422,0.2,96,0.29,17.84,17.84,-0.807436326962073,2.398758757729644,0.08960640009263626,-16.740245011764472,0.01806554515379441,0.6045809562444056,0.05658443491149713
^VIX,2021-04-26 10:00:00,VIXW,2021-05-12,30.0,P,10.63,10.63,10.63,10.63,9,18,10.53,18,10.82,17.84,17.84,-0.519754254510292,,,,,,
^VIX,2021-04-26 10:00:00,VIXW,2021-05-12,23.0,C,1.03,1.03,1.03,1.03,1,20,0.98,59,1.13,17.84,17.84,-0.2540510887772864,1.7229900462635968,0.3067095988849027,-26.455027257537065,0.05456288168662235,1.3115863430584966,0.19354144941523602
^VIX,2021-04-26 10:00:00,VIXW,2021-05-12,20.0,P,1.95,1.95,1.95,1.95,27,51,1.81,36,1.99,17.84,17.84,-0.1142891464021276,,,,,,
^VIX,2021-04-26 10:00:00,VIXW,2021-05-12,20.0,C,1.59,1.7,1.59,1.68,12,581,1.6,36,1.79,17.84,17.84,-0.1142891464021276,1.603829295521924,0.4394377649710805,-27.899702034399866,0.0658264518774108,1.4729072743372658,0.2723143724115194
^VIX,2021-04-26 10:00:00,VIXW,2021-05-12,19.0,C,2.0,2.05,2.0,2.05,4,19,1.92,57,2.15,17.84,17.84,-0.0629958520145771,1.655282452251703,0.5043691418814209,-29.201581245781735,0.06452135798224977,1.4900211355010087,0.30492124491928807
^VIX,2021-04-26 10:00:00,VIXW,2021-05-12,18.0,C,2.42,2.42,2.42,2.42,1,19,2.37,18,2.63,17.84,17.84,-0.0089286307443014,1.6748365659530648,0.5671336959902992,-29.238503808561962,0.06286679261484829,1.4689619823093476,0.33540804944854075
^VIX,2021-04-26 10:00:00,VIXW,2021-05-12,90.0,P,70.31,70.31,70.31,70.31,1,15,70.02,15,70.36,17.84,17.84,-1.6183665431784018,,,,,,
^VIX,2021-04-26 10:00:00,VIXW,2021-05-12,16.0,P,0.14,0.14,0.14,0.14,1,69,0.09,135,0.19,17.84,17.84,0.108854404912082,0.50650698195547,-0.12651333039721763,-4.113524603203779,0.1097261548677276,0.7753761084910427,-0.10441001678793364
^VIX,2021-04-26 10:00:00,VIXW,2021-05-12,17.0,P,0.34,0.34,0.34,0.34,1,842,0.3,71,0.4,17.84,17.84,0.0482297830956471,0.4698098806394229,-0.27159441624173153,-5.845639540121461,0.18897681869428576,1.2386468375428825,-0.2258753983900916
^VIX,2021-04-26 10:30:00,VIXW,2021-05-12,35.0,C,0.35,0.35,0.35,0.35,1,432,0.25,2537,0.35,17.75,17.75,-0.678962545567989,2.198268826152624,0.1092666135257897,-17.680568045382508,0.022906641094226417,0.6954502145280117,0.06926048068056359
^VIX,2021-04-26 10:30:00,VIXW,2021-05-12,17.0,P,0.38,0.38,0.35,0.35,4,1459,0.3,65,0.4,17.75,17.75,0.0431721718652087,0.4796105356333333,-0.29210758848336327,-6.132736524023734,0.19269944116059165,1.2764182436334768,-0.24241725944048897
^VIX,2021-04-26 10:30:00,VIXW,2021-05-12,16.0,P,0.13,0.13,0.13,0.13,1,951,0.1,51,0.19,17.75,17.75,0.1037967936816435,0.4792090770677392,-0.12469057775545356,-3.8164465024143612,0.1153902944466144,0.7636918401598948,-0.1020673123373548
^VIX,2021-04-26 10:30:00,VIXW,2021-05-12,22.0,C,1.2,1.2,1.15,1.15,6,87,1.07,11,1.24,17.75,17.75,-0.2146569374368911,1.719432058685406,0.3454770029863956,-27.621144064656484,0.05768886864818618,1.3699378811299068,0.21491425631555025
^VIX,2021-04-26 10:30:00,VIXW,2021-05-12,21.0,C,1.35,1.35,1.35,1.35,3,37,1.27,45,1.46,17.75,17.75,-0.1681369218019982,1.6568647724452117,0.3852131179695985,-27.68937586066221,0.06208967561816767,1.4207912968994463,0.2391108342924364
^VIX,2021-04-26 11:00:00,VIXW,2021-05-12,25.0,C,0.79,0.79,0.79,0.79,3,21,0.71,12,0.83,17.74,17.74,-0.3430538479867674,1.8122391455498672,0.24300656832283501,-24.567466169255713,0.0464982924648195,1.1624836709232047,0.15342105792461871
^VIX,2021-04-26 11:00:00,VIXW,2021-05-12,17.0,P,0.35,0.35,0.35,0.35,10,1,0.3,1247,0.4,17.74,17.74,0.0426086328252172,0.4543699934891829,-0.2856009399617586,-5.714468052182802,0.20137215290279262,1.2622442625594499,-0.23595139229487525
^VIX,2021-04-26 11:30:00,VIXW,2021-05-12,17.0,P,0.4,0.4,0.4,0.4,6,1,0.3,718,0.4,17.76,17.76,0.0437353935078081,0.4971469162833239,-0.2956501591128364,-6.419502934162115,0.18683631963876038,1.2842781531019667,-0.24615870777820537
^VIX,2021-04-26 11:30:00,VIXW,2021-05-12,18.0,C,2.45,2.45,2.45,2.45,1,18,2.32,18,2.56,17.76,17.76,-0.0134230203321405,1.7256525236537463,0.5644043787224361,-29.974445247398425,0.061360817610795496,1.464055464089078,0.3300115916088357
^VIX,2021-04-26 11:30:00,VIXW,2021-05-12,30.0,C,0.43,0.43,0.43,0.43,10,333,0.4,83,0.49,17.76,17.76,-0.5242486440981312,1.939279455324067,0.1419582011122003,-18.799890813926837,0.031158351171862206,0.8354643163559802,0.09112173467477282
^VIX,2021-04-26 11:30:00,VIXW,2021-05-12,25.0,C,0.73,0.73,0.73,0.73,3,20,0.71,86,0.83,17.76,17.76,-0.3419270873041767,1.755366061674581,0.233224137292109,-23.304110158781654,0.04688305233029565,1.1378804013485366,0.14867739083679715
^VIX,2021-04-26 12:00:00,VIXW,2021-05-12,23.0,C,0.99,0.99,0.99,0.99,2,20,0.96,46,1.08,17.79,17.79,-0.2568577142514059,1.703558448369005,0.30051432097890884,-25.849336551910223,0.05483845401208028,1.2960485060408,0.18981399671177943
^VIX,2021-04-26 12:00:00,VIXW,2021-05-12,20.0,P,1.9,1.9,1.9,1.9,1,40,1.78,59,1.95,17.79,17.79,-0.1170957718762472,,,,,,
^VIX,2021-04-26 12:00:00,VIXW,2021-05-12,18.0,C,2.5,2.5,2.5,2.5,2,18,2.36,18,2.6,17.79,17.79,-0.0117352562184209,1.7482793316182474,0.5672450779680178,-30.36931006719205,0.06039222104171618,1.4647747320699882,0.3307724972389791
^VIX,2021-04-26 12:30:00,VIXW,2021-05-12,20.0,C,1.65,1.65,1.65,1.65,5,18,1.58,25,1.7,17.93,17.93,-0.1092569859369495,1.6178990146552197,0.4469855659316211,-28.365439885517077,0.06510396506982646,1.4843849667219815,0.2773198140046737
^VIX,2021-04-26 12:30:00,VIXW,2021-05-12,18.0,C,2.6,2.6,2.58,2.6,41,19,2.4,18,2.64,17.93,17.93,-0.0038964702791232,1.7624553341030624,0.5762078235336041,-30.737019013388164,0.059193820208569586,1.4702195244650849,0.3368773866712146
^VIX,2021-04-26 13:30:00,VIXW,2021-05-12,21.0,C,1.35,1.35,1.35,1.35,2,20,1.31,19,1.48,17.96,17.96,-0.1563753748493694,1.6007125426440287,0.39015210462757577,-27.208963007311684,0.06375044825481636,1.4429004658090379,0.246501167015079
^VIX,2021-04-26 14:00:00,VIXW,2021-05-12,17.0,C,3.24,3.24,3.16,3.16,29,16,2.99,16,3.26,17.78,17.78,0.0448608860295424,1.960690452083327,0.6296582103927404,-32.65837980086877,0.05174546411193126,1.405956720375078,0.3466314353164614
^VIX,2021-04-26 14:00:00,VIXW,2021-05-12,19.0,C,2.09,2.09,2.09,2.09,20,1,1.96,32,2.09,17.78,17.78,-0.0663647490806818,1.7359046846616524,0.5070457154641873,-30.458648848848487,0.06172642679333082,1.4848673025593497,0.30175403293336084
^VIX,2021-04-26 14:00:00,VIXW,2021-05-12,18.0,C,2.49,2.54,2.49,2.54,41,16,2.34,16,2.59,17.78,17.78,-0.012297527810406,1.7452854111164129,0.5665073668562132,-30.31076303023949,0.060548968814472796,1.4644138954377246,0.3303895795424584
^VIX,2021-04-26 14:30:00,VIXW,2021-05-12,19.0,C,2.02,2.02,2.02,2.02,1,1,1.96,65,2.1,17.79,17.79,-0.0658024774886966,1.685426250908466,0.5036133147034724,-29.625187441763366,0.06354669831585683,1.4858732326897475,0.3023648514169335
^VIX,2021-04-26 14:30:00,VIXW,2021-05-12,27.0,C,0.56,0.56,0.56,0.56,20,24,0.52,55,0.64,17.79,17.79,-0.4172003643265853,1.8058881577749024,0.18497955340004202,-20.8953336575142,0.03968134246658969,0.9941598524841129,0.11899205786671889
^VIX,2021-04-26 14:30:00,VIXW,2021-05-12,25.0,C,0.73,0.73,0.73,0.73,20,21,0.68,46,0.81,17.79,17.79,-0.3402393231904569,1.749279737933333,0.23346836998999793,-23.278411450982073,0.04699412221872299,1.1404646335198951,0.1491716202767073
^VIX,2021-04-26 14:30:00,VIXW,2021-05-12,60.0,C,0.01,0.01,0.01,0.01,30,0,0.0,1790,0.09,17.79,17.79,-1.2157080605443569,2.061558614692168,0.004866926008553462,-1.2480770038277837,0.00183838818404877,0.052578951528035656,0.0033372126758333754
^VIX,2021-04-26 15:00:00,VIXW,2021-05-12,21.0,C,1.27,1.27,1.27,1.27,1,16,1.22,38,1.39,17.69,17.69,-0.171522929551729,1.6158794680120132,0.3752737942303897,-26.71164275894548,0.06337417498557024,1.404766252414839,0.2339287840134545
^VIX,2021-04-26 15:00:00,VIXW,2021-05-12,16.0,P,0.09,0.09,0.09,0.09,25,75,0.06,1019,0.15,17.69,17.69,0.1004107859319127,0.4174060951974055,-0.10208511474332393,-2.8520537866011266,0.11524062687206034,0.6598529804010886,-0.08257509515800915
^VIX,2021-04-26 15:00:00,VIXW,2021-05-12,29.0,C,0.47,0.47,0.47,0.47,4,1189,0.4,65,0.5,17.69,17.69,-0.4942963218147799,1.913691012318829,0.15468890066686014,-19.58522686768913,0.0335746948082078,0.8813870695487435,0.0987588558586713
^VIX,2021-04-26 15:00:00,VIXW,2021-05-12,17.0,P,0.3,0.3,0.3,0.3,1,63,0.24,783,0.35,17.69,17.69,0.0397861641154779,0.4041333586888129,-0.27687635971358304,-4.92193400224488,0.22366812672240546,1.239971161379624,-0.22642058559204903
^VIX,2021-04-26 15:00:00,VIXW,2021-05-12,18.0,C,2.31,2.31,2.31,2.31,2,16,2.27,17,2.52,17.69,17.69,-0.0173722497244706,1.65664620476639,0.5567620773304047,-28.789282730690964,0.0643595572218588,1.4626001092134508,0.3285002947838292
^VIX,2021-04-26 15:00:00,VIXW,2021-05-12,18.0,P,0.65,0.65,0.65,0.65,1,54,0.58,40,0.72,17.69,17.69,-0.0173722497244706,0.3266593079626733,-0.5482729117912257,-3.8843230581547608,0.3273246025914167,1.4667512633320743,-0.45082811071425766
^VIX,2021-04-26 15:30:00,VIXW,2021-05-12,32.5,C,0.32,0.32,0.32,0.32,2,21,0.28,85,0.35,17.72,17.72,-0.606546144158757,1.9901222364451796,0.10912589514260496,-15.991885222425665,0.0253218226437833,0.6936322356571425,0.07031671235026896
^VIX,2021-04-26 15:30:00,VIXW,2021-05-12,19.0,C,1.96,1.96,1.96,1.96,1,51,1.9,16,2.12,17.72,17.72,-0.0697450339895056,1.6682728401488376,0.49770734565854985,-29.211696833786846,0.06445528575312619,1.4800628943847114,0.2988833683303671
^VIX,2021-04-26 15:30:00,VIXW,2021-05-12,20.0,C,1.56,1.56,1.56,1.56,5,32,1.54,25,1.7,17.72,17.72,-0.1210383283770562,1.618550340305425,0.4333478598546051,-27.877363782122643,0.06550707947683405,1.4593820568722875,0.2666217545381515
^VIX,2021-04-26 15:30:00,VIXW,2021-05-12,18.0,C,2.52,2.52,2.52,2.52,2,16,2.39,16,2.63,17.72,17.72,-0.0156778127192299,1.7886304022521884,0.5648859843367028,-30.94009015667649,0.05932211898689111,1.4604672321263932,0.3263492403321026
^VIX,2021-04-26 15:30:00,VIXW,2021-05-12,21.0,C,1.27,1.27,1.27,1.27,2,34,1.28,59,1.45,17.72,17.72,-0.1698284925464881,1.6079657246316377,0.37595952932925214,-26.64690229829423,0.06361469599012695,1.4079550714031506,0.23494886206635576
^VIX,2021-04-26 15:30:00,VIXW,2021-05-12,25.0,C,0.75,0.75,0.75,0.75,1,18,0.68,925,0.8,17.72,17.72,-0.3441818796912659,1.78126383342045,0.2362723154239475,-23.75812830159381,0.046639334034234335,1.1434973010798817,0.1497528074702414
^VIX,2021-04-26 16:00:00,VIXW,2021-05-12,18.0,C,2.75,2.75,2.45,2.55,23,13,2.28,1,2.45,17.72,17.72,-0.0156778127192299,1.9459580434241075,0.5721179122148793,-33.44259337555779,0.0543531595889375,1.455837227360424,0.32191031012184906
^VIX,2021-04-26 16:00:00,VIXW,2021-05-12,20.0,C,1.7,1.7,1.7,1.7,25,39,1.5,26,1.68,17.72,17.72,-0.1210383283770562,1.7145292819432811,0.4447535755993637,-29.6114512473431,0.06211503496830143,1.4658724884155694,0.2693270433951655
^VIX,2021-04-26 16:00:00,VIXW,2021-05-12,24.0,C,0.87,0.87,0.87,0.87,1,702,0.75,28,0.89,17.72,17.72,-0.3033598851710108,1.7597017318178834,0.26733644609623847,-25.090408726511754,0.050394469495711684,1.2206087881800272,0.16850900455883291
^VIX,2021-04-26 16:15:00,VIXW,2021-05-12,26.0,C,0.6,0.6,0.6,0.6,7,966,0.55,22,0.68,17.64,17.64,-0.3879274874428368,1.7703607221827709,0.1995919169338437,-21.29990543469395,0.042765296348766274,1.0327079761042435,0.12727173466879566
^VIX,2021-04-26 16:15:00,VIXW,2021-05-12,18.0,C,2.3,2.3,2.3,2.3,1,10,2.26,10,2.5,17.64,17.64,-0.0202027073175194,1.6685460515803263,0.55413959079631,-28.925039765002214,0.06414102021593246,1.4598167446310684,0.32570732570155775
^VIX,2021-04-26 16:15:00,VIXW,2021-05-12,30.0,C,0.4,0.4,0.4,0.4,1,854,0.35,26,0.45,17.64,17.64,-0.5310283310835102,1.922210711621136,0.13533659695813227,-17.91505282240024,0.030635515785772404,0.8032495102721865,0.08659712180099399
^VIX,2021-04-26 16:15:00,VIXW,2021-05-12,20.0,C,1.65,1.65,1.65,1.65,1,39,1.5,10,1.65,17.64,17.64,-0.1255632229753457,1.7040962604343814,0.4385478954273466,-29.228462071417578,0.06263401466243014,1.45589030106424,0.265185709971198
^VIX,2021-04-26 16:15:00,VIXW,2021-05-12,16.0,C,3.85,3.85,3.8,3.8,50,10,3.67,10,3.97,17.64,17.64,0.097580328338864,2.120447360957728,0.6761470084439621,-33.337422064853314,0.04589116603210702,1.3273359839808792,0.3519414737167149
